Degree Name,Institution Name,City,Required Bagrut Average,Math Requirement,English Requirement,Required Academic English Level,Psychometric Score,Composite Score,Degree Schedule,Additional Requirements,Tuition Fee
Psychology,Ben-Gurion University,Be'er Sheva,Bagrut Eligibility ,,,Beginner,650,650,3 years,,"11,000-12,000"
Psychology,Ben-Gurion University,Be'er Sheva,,,,Beginner,,680,3 years,,"11,000-12,000"
Psychology,Ben-Gurion University,Be'er Sheva,,,,Beginner,680,,3 years,,"11,000-12,000"
Psychology,Ben-Gurion University,Be'er Sheva,113,,"5 English units, grade 80",Beginner,,,3 years,,"11,000-12,000"
Psychology,Tel Aviv University,Tel Aviv,Bagrut Eligibility ,,,,730,660,3 years,,"11,000-12,000"
Psychology,Tel Aviv University,Tel Aviv,Bagrut Eligibility ,"5 Math units, grade 85","5 English units, grade 85",,,,3 years,,"11,000-12,000"
Psychology,University of Haifa,Haifa,Bagrut Eligibility ,,,,,650,3 years,,"11,000-12,000"
Psychology,The Hebrew University,Jerusalem,112.5,,,,,,3 years,,"11,000-12,000"
Psychology,The Hebrew University,Jerusalem,111,,,,730,,3 years,,"11,000-12,000"
Psychology,The College of Management Academic Studies,Rishon LeZion,94,,,,,,3 years,,37000
Psychology,The College of Management Academic Studies,Rishon LeZion,85,,,Pre-Beginner,590,,3 years,,37000
Psychology,Ariel University,Ariel,97,"3 Math units, grade 80 or 4 Math units, grade 60","4 Math units, grade 80 or 5 Math units, grade 70",Beginner,,,3 years,,"11,000-12,000"
Psychology,Ariel University,Ariel,,"3 Math units, grade 80 or 4 Math units, grade 60","4 Math units, grade 80 or 5 Math units, grade 70",Beginner,,580,3 years,,"11,000-12,000"
Psychology,Achva Academic College,Yinon,92,,"4 English units, grade 70",,,,3 years,,"11,000-12,000"
Psychology,Achva Academic College,Yinon,85,,"4 English units, grade 70",,590,515,3 years,,"11,000-12,000"
Psychology,Reichman University,Herzliya,100,"3 Math units, grade 80","4 English units, grade 55",Pre-Beginner,,,3 years,,"49,000-50,000"
Psychology,Peres Academic Center,Rehovot,80,,,"Pre-Beginner or 5 English units, grade 90",570,,3 years,,24000
Psychology,Peres Academic Center,Rehovot,90,,,"Pre-Beginner or 5 English units, grade 90",,,3 years,,24000
Psychology,Peres Academic Center,Rehovot,85-90,"3 Math units, grade 70","4 English units, grade 70","Pre-Beginner or 5 English units, grade 90",,,3 years,,24000
Psychology,Peres Academic Center,Rehovot,Bagrut Eligibility ,,,"Pre-Beginner or 5 English units, grade 90",600,,3 years,,24000
Psychology,Tel Aviv-Yaffo Academic College,Jaffa,102,"4 Math units, grade 80 or 5 Math units, grade 60","4 or 5 English units, grade 55",Beginner,,,3 years,,"11,000-12,000"
Psychology,Tel Aviv-Yaffo Academic College,Jaffa,Bagrut Eligibility ,"3 Math units, grade 70","4 or 5 English units, grade 55",Beginner,610,,3 years,,"11,000-12,000"
Psychology,Tel Aviv-Yaffo Academic College,Jaffa,Bagrut Eligibility ,"4 Math units, grade 70","4 or 5 English units, grade 55",Beginner,,630,3 years,,"11,000-12,000"
Computer Science,Ben-Gurion University,Be'er Sheva,,"4 Math units, grade 90 or 5 Math units, grade 80",,,660,"760 + Psychometric Quantitative score: 135
",3 years,,"11,000-12,000"
Computer Science,University of Haifa,Haifa,,"4 Math units, grade 95 or 5 Math units, grade75",,,,700,3 years,,"11,000-12,000"
Computer Science,Tel Aviv University,Tel Aviv,,"4 Math units, grade 85 or 5 Math units, grade 80",,,630,728,3 years,,"11,000-12,000"
Computer Science,The Hebrew University,Jerusalem,115,,,,,,3 years,,"11,000-12,000"
Computer Science,The Hebrew University,Jerusalem,No need,,,,740,,3 years,,"11,000-12,000"
Computer Science,Ariel University,Ariel,107,"4 Math units, grade 90 or 5 Math units, grade 80","4 English units, grade 55",Beginner,,,3 years,,"11,000-12,000"
Computer Science,Ariel University,Ariel,,"4 Math units, grade 90 or 5 Math units, grade 80","4 English units, grade 55",Beginner,,"650 + Psychometric Quantitative score: 120
",3 years,,"11,000-12,000"
Computer Science,Ariel University,Ariel,Bagrut Eligibility ,"4 Math units, grade 90 or 5 Math units, grade 80","4 English units, grade 55",Beginner,680,,3 years,,"11,000-12,000"
Computer Science,Ashkelon Academic College,Ashkelon,85,"4 Math units, grade 70 or 5 Math units, grade 60","4 English units, grade 55",,,570,3 years,,"11,000-12,000"
Computer Science,Ashkelon Academic College,Ashkelon,95,"4 Math units, grade 80","4 English units, grade 55",,,,3 years,,"11,000-12,000"
Computer Science,The Academic College of Tel Aviv-Yaffo,Tel Aviv,102,"4 Math units, grade 90 or 5 Math units, grade 70","4 or 5 English units, grade 55",Advanced A,,,3 years,,"11,000-12,000"
Computer Science,The Academic College of Tel Aviv-Yaffo,Tel Aviv,Bagrut Eligibility ,"4 Math units, grade 90 or 5 Math units, grade 70","4 or 5 English units, grade 55",Advanced A,600,650,3 years,,"11,000-12,000"
Computer Science,The Academic College of Tel Aviv-Yaffo,Tel Aviv,Bagrut Eligibility ,"4 Math units, grade 90 or 5 Math units, grade 70","4 or 5 English units, grade 55",Advanced A,670,,3 years,,"11,000-12,000"
Computer Science,The Academic College of Tel Aviv-Yaffo,Tel Aviv,100,"4 Math units, grade 90 or 5 Math units, grade 70","4 or 5 English units, grade 55",Advanced A,580,,3 years,,"11,000-12,000"
Computer Science,Ono Academic College,Kiryat Ono,100,"4 Math units, grade 95 or 5 Math units, grade 75",,,,,3 years,,28000
Computer Science,Ono Academic College,Kiryat Ono,,,,,650,,3 years,,28000
Computer Science,Ono Academic College,Kiryat Ono,,,,,,650,3 years,,28000
Computer Science,HIT Holon Institute of Technology,Holon,Bagrut Eligibility ,"4 Math units, grade 80 or 5 Math units, grade 70",,Pre-Beginner,550,,3 years,,"11,000-12,000"
Computer Science,Tel-Hai Academic College,Kiryat Shmona,Bagrut Eligibility ,"4 Math units, grade 85 or 5 Math units, grade 75",,Pre-Beginner,610,,3 years,,"11,000-12,000"
Law,Tel Aviv University,Tel Aviv,85,,,Advanced A,600,655,3.5 years,,"11,000-12,000"
Law,Tel Aviv University,Tel Aviv,Bagrut Eligibility ,,,Advanced A,650,,3.5 years,,"11,000-12,000"
Law,Bar-Ilan University,Givat Shmuel,90,,,Beginner,600,,,,"11,000-12,000"
Law,University of Haifa,Haifa,Bagrut Eligibility ,,,Advanced A,,680,,,"11,000-12,000"
Law,Ono Academic College,Kiryat Ono,95,,,Beginner,,,3.5 years,,28000
Law,Ono Academic College,Kiryat Ono,Bagrut Eligibility ,,,Beginner,600,,3.5 years,,28000
Law,Sapir Academic College,Sha'ar HaNegev,Bagrut Eligibility ,,,Beginner,650,,,,"14,000-15,000"
Law,The College of Management,Rishon LeZion,100,,,,,,,,37000
Law,The College of Management,Rishon LeZion,Bagrut Eligibility ,,,,540,,,,37000
Nursing,Ariel University,Ariel,88,,"4 English units, grade 55",Pre-Beginner,550,,,Personal Interview ,"11,000-12,000"
Nursing,Ono Academic College,Kiryat Ono,85,,,Advanced A,520,,4 years,Personal Interview ,28000
Nursing,Ruppin Academic Center,Emek Hefer,75,,,Pre-Beginner,520,,4 years,Personal Interview ,"11,000-12,000"
Nursing,Ruppin Academic Center,Emek Hefer,Bagrut Eligibility ,,,Pre-Beginner,530,,4 years,,"11,000-12,000"
Nursing,Ben-Gurion University,Be'er Sheva,80,,"4 English units, grade 55",,550,,4 years,Personal Interview ,"11,000-12,000"
Nursing,University of Haifa,Haifa,Bagrut Eligibility ,,,,570,600,4 years,Aptitude Tests,"11,000-12,000"
Nursing,Tel Aviv-Yaffo Academic College,Tel Aviv,,,,,,550,4 years,Personal Interview ,"11,000-12,000"
Architecture,Ariel University,Ariel,Bagrut Eligibility ,,"4 English units, grade 55",,,573,5 years,Personal Interview and Portfolio Presentation,"11,000-12,000"
Architecture,Tel Aviv University,Tel Aviv,Bagrut Eligibility ,"4 Math units, grade 80 or 5 Math units, grade 70",,,550,,5 years,Personal Interview and Portfolio Presentation,"11,000-12,000"
Architecture,WIZO Haifa Academic Center,Haifa,92,,"4 English units, grade 55",,540,,5 years,Personal Interview and Portfolio Presentation,"11,000-12,000"
Political Science,Zefat Academic College,Zefat,78,,,,420,,3 years,,"11,000-12,000"
Political Science,Ariel University,Ariel,80,"4 English units, grade 55",,,510,,3 years,,"11,000-12,000"
Political Science,The Hebrew University,Jerusalem,100,,,,600,,3 years,,"11,000-12,000"
Political Science,Tel Aviv University,Tel Aviv,111,,,,450,,3 years,,"11,000-12,000"
Political Science,Bar Ilan University,Ramat Gan,85,,,,560,,3 years,,"11,000-12,000"
Business Management,Ben-Gurion University,Beer Sheva,Bagrut Eligibility ,"3-4 units, grade 75, or 5 units, grade 65",,,600,,3 years,Mechina for score 600 or 106 psychometric,"11,000-12,000"
Business Management,University of Haifa,Haifa,Bagrut Eligibility ,"4 units, grade 80 or 5 units, grade 70",,,660,,3 years,Acceptance to dual-track with Economics department,"11,000-12,000"
Business Management,Tel Aviv University,Tel Aviv,Bagrut Eligibility ,"4 units, grade 85",,,620,,3 years,,"11,000-12,000"
Business Management,Reichman University,Herzliya,Bagrut Eligibility ,,,,700,,3 years,,"49,000-50,000"
Business Management,Ono Academic College,Kiryat Ono,Bagrut Eligibility ,,,,600,,3 years,Personal Interview ,28000
Biology,Tel Aviv University	,Tel Aviv	,Bagrut Eligibility ,"4 units, grade 80 or 5 units, grade 70",,Advanced A,601,,3 years,,"11,000-12,000"
Biology,University of Haifa,Haifa,106,"4 units, grade 90 or 5 units, grade 70",,,640,640,3 years,,"11,000-12,000"
Biology,Ben-Gurion University,Beer Sheva,106,"4 units, grade 80 or 5 units, grade 70",,Advanced A,?585,?585,3 years,,"11,000-12,000"
Biology,Bar-Ilan University,Ramat Gan	,Bagrut Eligibility ,,,,?530,,3 years,,"11,000-12,000"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
